trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,2.554284397997462e-09,1.8030223697423935
1,1_0,COMPLETED,Sobol,2.022091863406914e-09,4.150677639525384
2,2_0,COMPLETED,Sobol,2.6503543678549257e-09,0.7310901014134288
3,3_0,COMPLETED,Sobol,2.1839201480694838e-09,3.472171864937991
4,4_0,COMPLETED,Sobol,2.0329913447073916e-09,4.103264733683318
5,5_0,COMPLETED,GPEI,1.8559853657227677e-09,5.0
6,6_0,COMPLETED,GPEI,2.383557849220841e-09,2.6436714368531806
