trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,9.366929003892366e-10,4.092272341251373
1,1_0,COMPLETED,Sobol,9.366929003892366e-10,4.361568997148424
2,2_0,COMPLETED,Sobol,9.366929003892366e-10,3.6137575693428516
3,3_0,COMPLETED,Sobol,9.366929003892366e-10,3.8560161418281496
4,4_0,COMPLETED,Sobol,9.366929003892366e-10,3.061485083773732
