trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,9.366929003892366e-10,0.9605854451656342
1,1_0,COMPLETED,Sobol,9.366929003892366e-10,4.230878450907767
2,2_0,COMPLETED,Sobol,9.366929003892366e-10,2.2685789414681494
3,3_0,COMPLETED,Sobol,9.366929003892366e-10,0.9807283319532871
4,4_0,COMPLETED,Sobol,9.366929003892366e-10,4.17454388923943
