trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,2.2939989257350114e-09,3.015286296606064
1,1_0,COMPLETED,Sobol,2.194934176368327e-09,3.42700224975124
2,2_0,COMPLETED,Sobol,2.2573742603151442e-09,3.167986412998289
3,3_0,COMPLETED,Sobol,1.9254381560868674e-09,4.600847777910531
4,4_0,COMPLETED,Sobol,2.2297920497831834e-09,3.2832355573773384
