trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,2.6439373909391313e-09,1.3184615969657898
1,1_0,COMPLETED,Sobol,2.3627464549098683e-09,2.731683705933392
2,2_0,COMPLETED,Sobol,2.4119126143574858e-09,2.5244031003676355
3,3_0,COMPLETED,Sobol,2.57863471502545e-09,1.6828124462626874
4,4_0,COMPLETED,Sobol,2.328380036391873e-09,2.874070649035275
