trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,9.366929003892366e-10,1.6207967102527618
1,1_0,COMPLETED,Sobol,9.366929003892366e-10,1.2424107873812318
2,2_0,COMPLETED,Sobol,9.366929003892366e-10,2.9773994656279683
3,3_0,COMPLETED,Sobol,9.366929003892366e-10,3.376530812587589
4,4_0,COMPLETED,Sobol,9.366929003892366e-10,1.7247682050801814
