trial_index,arm_name,trial_status,generation_method,rmse,vcmax_np1
0,0_0,COMPLETED,Sobol,9.366929003892366e-10,1.7003639042377472
1,1_0,COMPLETED,Sobol,9.366929003892366e-10,2.26598852686584
2,2_0,COMPLETED,Sobol,9.366929003892366e-10,3.130716649349779
3,3_0,COMPLETED,Sobol,9.366929003892366e-10,2.957363288849592
4,4_0,COMPLETED,Sobol,9.366929003892366e-10,1.277304486837238
